,FieldID,Experiment,field.name,diffCSscore,yields_average,yields_variance,varCSscore,invVar_Ctub,invVar_Ntub,invVar_Csscore,Std.Err.Mean.Control.Microbe,Std.Err.Mean.LowN.Microbe,seCSscore,claderich0.1,cladediv0.1,claderich0.15,cladediv0.15,claderich0.2,cladediv0.2,claderich0.25,cladediv0.25,claderich0.3,cladediv0.3,claderich0.35,cladediv0.35,claderich0.4,cladediv0.4,claderich0.45,cladediv0.45,claderich0.5,cladediv0.5,claderich0.55,cladediv0.55,claderich0.6,cladediv0.6,claderich0.7,cladediv0.7,claderich0.8,cladediv0.8,asvrich,asvdiv,PD,nutrients
1,1,2015,CF1,1.280555556,247.26153,75.44312083,1.148148148,0.013255019,0.001813613,0.870967742,4.3429,11.7408,0.618640485,22,2.276873652,40,2.601290914,69,2.899248608,118,3.239465533,167,3.76897553,215,4.268110483,262,4.473499224,298,4.618076334,310,4.698941141,331,4.835653513,339,4.887445607,370,5.087528282,395,5.226187454,400,5.230529384,31.6993745,high
2,1,2015,CF1,1.280555556,218.6784,551.3855492,1.148148148,0.013255019,0.001813613,0.870967742,4.3429,11.7408,0.618640485,22,2.276873652,40,2.601290914,69,2.899248608,118,3.239465533,167,3.76897553,215,4.268110483,262,4.473499224,298,4.618076334,310,4.698941141,331,4.835653513,339,4.887445607,370,5.087528282,395,5.226187454,400,5.230529384,31.6993745,low
3,2,2015,CF2,0.762103175,221.60938,2061.830163,0.833557728,0.000485006,0.00303595,1.199676958,22.7037,9.0745,0.456496914,20,2.206943289,32,2.400265449,51,2.768875526,103,3.229995259,161,3.845416099,215,4.275554363,249,4.43731242,282,4.599439907,291,4.656949839,309,4.842093818,321,4.898133922,337,5.144045669,354,5.209357859,355,5.211096983,26.60308888,high
4,2,2015,CF2,0.762103175,216.76044,329.3861888,0.833557728,0.000485006,0.00303595,1.199676958,22.7037,9.0745,0.456496914,20,2.206943289,32,2.400265449,51,2.768875526,103,3.229995259,161,3.845416099,215,4.275554363,249,4.43731242,282,4.599439907,291,4.656949839,309,4.842093818,321,4.898133922,337,5.144045669,354,5.209357859,355,5.211096983,26.60308888,low
5,3,2015,CF4,1.089285714,260.05795,382.9614331,0.317602041,0.002611229,0.001171079,3.148594378,9.7847,14.6109,0.325372628,22,2.119983627,39,2.303622903,59,2.618772921,108,2.968523942,157,3.464252687,203,3.82021229,232,3.951915458,252,4.029574314,261,4.065518689,273,4.153511971,286,4.232497668,310,4.453618261,340,4.567908955,340,4.567908955,30.88359893,high
6,3,2015,CF4,1.089285714,209.17201,853.9133568,0.317602041,0.002611229,0.001171079,3.148594378,9.7847,14.6109,0.325372628,22,2.119983627,39,2.303622903,59,2.618772921,108,2.968523942,157,3.464252687,203,3.82021229,232,3.951915458,252,4.029574314,261,4.065518689,273,4.153511971,286,4.232497668,310,4.453618261,340,4.567908955,340,4.567908955,30.88359893,low
7,4,2015,CF5,3.208333333,238.36716,452.336408,9.159722254,0.002210744,0.004651339,0.109173616,10.6341,7.3313,1.51325165,21,2.145946297,31,2.284875102,51,2.627511732,81,2.977941668,136,3.663882688,177,4.064341232,198,4.185131052,213,4.267183919,226,4.319912974,240,4.511197607,249,4.570935714,264,4.752686391,274,4.784317907,274,4.784317907,23.38436868,high
8,4,2015,CF5,3.208333333,233.20952,214.991855,9.159722254,0.002210744,0.004651339,0.109173616,10.6341,7.3313,1.51325165,21,2.145946297,31,2.284875102,51,2.627511732,81,2.977941668,136,3.663882688,177,4.064341232,198,4.185131052,213,4.267183919,226,4.319912974,240,4.511197607,249,4.570935714,264,4.752686391,274,4.784317907,274,4.784317907,23.38436868,low
9,5,2015,DO1,2.45,286.36653,941.4343128,4.196666661,0.001062209,0.004013995,0.238284353,15.3414,7.8919,1.182746333,22,2.526863846,31,2.77005962,54,3.206034328,76,3.447349318,96,3.789897858,110,4.019302402,125,4.218381512,135,4.322019178,136,4.341113392,140,4.403219403,142,4.414700142,154,4.602408235,159,4.638409519,159,4.638409519,19.46883234,high
10,5,2015,DO1,2.45,252.371,249.1283621,4.196666661,0.001062209,0.004013995,0.238284353,15.3414,7.8919,1.182746333,22,2.526863846,31,2.77005962,54,3.206034328,76,3.447349318,96,3.789897858,110,4.019302402,125,4.218381512,135,4.322019178,136,4.341113392,140,4.403219403,142,4.414700142,154,4.602408235,159,4.638409519,159,4.638409519,19.46883234,low
11,6,2015,ING3,1.646428571,288.54775,790.6669671,3.67147959,0.001264755,0.003541566,0.272369756,14.0594,8.4018,0.958055269,26,2.522955479,38,2.851589522,63,3.246180806,86,3.478572511,111,3.852816398,141,4.353324197,155,4.459258258,173,4.57524103,178,4.641632105,186,4.717113217,189,4.750946189,198,4.808668758,201,4.823674606,201,4.823674606,25.53452973,high
12,6,2015,ING3,1.646428571,264.19746,282.3609669,3.67147959,0.001264755,0.003541566,0.272369756,14.0594,8.4018,0.958055269,26,2.522955479,38,2.851589522,63,3.246180806,86,3.478572511,111,3.852816398,141,4.353324197,155,4.459258258,173,4.57524103,178,4.641632105,186,4.717113217,189,4.750946189,198,4.808668758,201,4.823674606,201,4.823674606,25.53452973,low
13,7,2015,OC1,2.327380952,281.14303,601.5149756,1.312522676,0.001662469,0.002996919,0.761891599,12.2629,9.1334,0.661443541,17,2.26542885,27,2.632595478,40,2.918039815,56,3.205767305,72,3.628022689,88,4.017774309,96,4.095737395,102,4.185516089,107,4.226918031,111,4.266115435,113,4.273676882,123,4.389487042,124,4.394958287,124,4.394958287,17.96573397,high
14,7,2015,OC1,2.327380952,221.51759,333.6760186,1.312522676,0.001662469,0.002996919,0.761891599,12.2629,9.1334,0.661443541,17,2.26542885,27,2.632595478,40,2.918039815,56,3.205767305,72,3.628022689,88,4.017774309,96,4.095737395,102,4.185516089,107,4.226918031,111,4.266115435,113,4.273676882,123,4.389487042,124,4.394958287,124,4.394958287,17.96573397,low
15,8,2015,PRF3,0.871230159,237.1256,441.352817,0.680748457,0.002265761,0.001369104,1.46897138,10.5042,13.513,0.412537409,23,2.394000624,39,2.693352909,59,3.175107816,91,3.643063405,118,4.066769083,163,4.57025283,197,4.820455994,217,4.933637579,226,5.022038938,232,5.089559707,232,5.089559707,234,5.104083619,234,5.104083619,234,5.104083619,27.10282586,high
16,8,2015,PRF3,0.871230159,238.57747,730.4047026,0.680748457,0.002265761,0.001369104,1.46897138,10.5042,13.513,0.412537409,23,2.394000624,39,2.693352909,59,3.175107816,91,3.643063405,118,4.066769083,163,4.57025283,197,4.820455994,217,4.933637579,226,5.022038938,232,5.089559707,232,5.089559707,234,5.104083619,234,5.104083619,234,5.104083619,27.10282586,low
17,9,2015,PRF5,3.471666667,248.7906,467.5022802,4.742222214,0.002139027,0.003015578,0.210871603,10.8109,9.1051,1.257275125,28,2.301713177,42,2.653328054,70,3.13209999,112,3.500704177,175,4.115127805,222,4.598282871,253,4.779372781,287,4.960007835,297,5.028637626,306,5.061089798,311,5.091739269,323,5.149858207,330,5.167970036,331,5.168846375,32.96331817,high
18,9,2015,PRF5,3.471666667,226.97584,331.6113859,4.742222214,0.002139027,0.003015578,0.210871603,10.8109,9.1051,1.257275125,28,2.301713177,42,2.653328054,70,3.13209999,112,3.500704177,175,4.115127805,222,4.598282871,253,4.779372781,287,4.960007835,297,5.028637626,306,5.061089798,311,5.091739269,323,5.149858207,330,5.167970036,331,5.168846375,32.96331817,low
19,10,2015,RS1,2.305833333,288.65549,61.53461042,0.075625,0.016251017,0.002462038,13.2231405,3.9222,10.0768,0.1375,22,2.382649979,34,2.611805265,45,2.965530177,70,3.339248035,85,3.633425259,107,4.011366302,127,4.247723891,136,4.290398504,139,4.310270331,144,4.355788195,147,4.39923636,153,4.455144281,154,4.462625069,154,4.462625069,21.57760561,high
20,10,2015,RS1,2.305833333,257.44062,406.1675734,0.075625,0.016251017,0.002462038,13.2231405,3.9222,10.0768,0.1375,22,2.382649979,34,2.611805265,45,2.965530177,70,3.339248035,85,3.633425259,107,4.011366302,127,4.247723891,136,4.290398504,139,4.310270331,144,4.355788195,147,4.39923636,153,4.455144281,154,4.462625069,154,4.462625069,21.57760561,low
21,11,2015,SAF,0.9,252.3672,1452.783097,1.106666666,0.000688334,0.002515825,0.903614458,19.0577,9.9685,0.607362239,19,2.224320434,32,2.569121337,49,2.962464707,78,3.434422712,98,3.873180512,121,4.227004495,142,4.405003838,152,4.497092643,158,4.556041498,161,4.584269104,162,4.588240805,166,4.648703063,172,4.692132687,172,4.692132687,21.53001099,high
22,11,2015,SAF,0.9,234.72402,397.4839267,1.106666666,0.000688334,0.002515825,0.903614458,19.0577,9.9685,0.607362239,19,2.224320434,32,2.569121337,49,2.962464707,78,3.434422712,98,3.873180512,121,4.227004495,142,4.405003838,152,4.497092643,158,4.556041498,161,4.584269104,162,4.588240805,166,4.648703063,172,4.692132687,172,4.692132687,21.53001099,low
23,12,2015,WIL1,1.614583333,268.02906,413.8865562,0.677517361,0.002416121,0.007284202,1.475976938,10.1721,5.8584,0.411557214,20,2.345845179,29,2.730538204,43,3.067522202,59,3.383033509,74,3.718025356,91,4.140385599,100,4.259540298,111,4.40148808,112,4.413991772,114,4.444919012,116,4.464761987,116,4.464761987,116,4.464761987,116,4.464761987,16.30644912,high
24,12,2015,WIL1,1.614583333,251.63023,137.2833977,0.677517361,0.002416121,0.007284202,1.475976938,10.1721,5.8584,0.411557214,20,2.345845179,29,2.730538204,43,3.067522202,59,3.383033509,74,3.718025356,91,4.140385599,100,4.259540298,111,4.40148808,112,4.413991772,114,4.444919012,116,4.464761987,116,4.464761987,116,4.464761987,116,4.464761987,16.30644912,low
25,13,2015,WIL2,5.665178571,286.13047,1202.757201,22.45182305,0.000831423,0.004075941,0.044539813,17.3404,7.8317,2.735679252,24,2.40869835,40,2.762133391,58,3.221699584,93,3.682982996,135,4.105765396,184,4.602822999,220,4.82187413,234,4.88418897,246,4.940515114,254,5.015517687,261,5.040740515,273,5.141141594,274,5.146218639,274,5.146218639,30.06792906,high
26,13,2015,WIL2,5.665178571,233.48023,245.3421185,22.45182305,0.000831423,0.004075941,0.044539813,17.3404,7.8317,2.735679252,24,2.40869835,40,2.762133391,58,3.221699584,93,3.682982996,135,4.105765396,184,4.602822999,220,4.82187413,234,4.88418897,246,4.940515114,254,5.015517687,261,5.040740515,273,5.141141594,274,5.146218639,274,5.146218639,30.06792906,low
27,27,2017,Prairie,3.741,97.41,3768.522287,5.32986723,0.000265356,0.001470826,0.187621934,35.443,15.054,1.3329,36,2.417890116,65,2.711589417,119,3.166714822,225,3.776358629,395,4.450402016,555,5.150868927,698,5.586234362,827,5.872136597,909,6.039824545,949,6.131535208,995,6.207307714,1049,6.30355902,1080,6.417006523,1080,6.417006523,65.22856422,high
28,27,2017,Prairie,3.741,76.2267,679.8900754,5.32986723,0.000265356,0.001470826,0.187621934,35.443,15.054,1.3329,36,2.417890116,65,2.711589417,119,3.166714822,225,3.776358629,395,4.450402016,555,5.150868927,698,5.586234362,827,5.872136597,909,6.039824545,949,6.131535208,995,6.207307714,1049,6.30355902,1080,6.417006523,1080,6.417006523,65.22856422,low
29,28,2017,Fitante,1.375,81.5067,3566.422842,1.73416827,0.000280393,0.029754212,0.57664531,34.479,3.347,0.7603,28,2.40356074,46,2.723967087,69,3.236945343,108,3.637327567,185,4.583333683,231,4.905954169,257,5.043242068,276,5.14033228,284,5.197444318,292,5.239189113,298,5.280823152,308,5.396097487,310,5.407291934,310,5.407291934,30.75652797,high
30,28,2017,Fitante,1.375,49.11,33.60868707,1.73416827,0.000280393,0.029754212,0.57664531,34.479,3.347,0.7603,28,2.40356074,46,2.723967087,69,3.236945343,108,3.637327567,185,4.583333683,231,4.905954169,257,5.043242068,276,5.14033228,284,5.197444318,292,5.239189113,298,5.280823152,308,5.396097487,310,5.407291934,310,5.407291934,30.75652797,low
31,29,2017,Hyland Lakes H-6 Schmeige,1.678,132.87,1067.329265,0.05738067,0.000936918,0.063672493,17.42747166,18.862,2.288,0.1383,30,2.556434168,50,2.8899273,103,3.458658496,194,3.934221672,344,4.69332666,478,5.324982203,574,5.58387581,654,5.78003281,693,5.861737603,716,5.961105739,747,6.055094065,792,6.215169689,808,6.242688599,809,6.243126769,51.05868553,high
32,29,2017,Hyland Lakes H-6 Schmeige,1.678,57.9333,15.70536904,0.05738067,0.000936918,0.063672493,17.42747166,18.862,2.288,0.1383,30,2.556434168,50,2.8899273,103,3.458658496,194,3.934221672,344,4.69332666,478,5.324982203,574,5.58387581,654,5.78003281,693,5.861737603,716,5.961105739,747,6.055094065,792,6.215169689,808,6.242688599,809,6.243126769,51.05868553,low
33,30,2017,02 Grams,0.833,136.6467,2027.180435,2.08316667,0.000493296,0.008526271,0.480038402,25.995,6.253,0.8333,29,2.439709264,47,2.827522543,74,3.200028366,118,3.659121996,192,4.372985796,261,4.829831975,305,5.117058238,328,5.223210266,346,5.270067862,357,5.307390979,363,5.328621757,370,5.368195397,372,5.384974826,372,5.384974826,34.26037292,high
34,30,2017,02 Grams,0.833,51.3267,117.2845667,2.08316667,0.000493296,0.008526271,0.480038402,25.995,6.253,0.8333,29,2.439709264,47,2.827522543,74,3.200028366,118,3.659121996,192,4.372985796,261,4.829831975,305,5.117058238,328,5.223210266,346,5.270067862,357,5.307390979,363,5.328621757,370,5.368195397,372,5.384974826,372,5.384974826,34.26037292,low
35,31,2017,Mortenson FarmCantor,0.987,129.3867,129.1814084,2.08316667,0.007741052,0.026554016,0.480038402,6.562,3.543,0.8333,35,2.557944957,62,2.901363798,116,3.437780392,227,3.97879183,449,4.805319035,669,5.542486744,823,5.84502061,940,6.061387032,1002,6.161270855,1043,6.284973502,1091,6.370820723,1148,6.524711705,1174,6.554732677,1176,6.556485354,69.19560945,high
36,31,2017,Mortenson FarmCantor,0.987,52.2967,37.65908705,2.08316667,0.007741052,0.026554016,0.480038402,6.562,3.543,0.8333,35,2.557944957,62,2.901363798,116,3.437780392,227,3.97879183,449,4.805319035,669,5.542486744,823,5.84502061,940,6.061387032,1002,6.161270855,1043,6.284973502,1091,6.370820723,1148,6.524711705,1174,6.554732677,1176,6.556485354,69.19560945,low
37,32,2017,KaneAsata,0,97.7867,858.4317311,0.33326667,0.001164915,0.029308652,3.00060009,16.916,3.372,0.3333,39,2.627369468,75,3.022390386,151,3.556896881,305,4.296843419,554,4.952563154,799,5.69361975,985,6.069736394,1130,6.289761106,1213,6.418991212,1274,6.543762282,1328,6.640560097,1416,6.873520016,1471,6.934502111,1478,6.940753314,86.51604866,high
38,32,2017,KaneAsata,0,52.35,34.11961765,0.33326667,0.001164915,0.029308652,3.00060009,16.916,3.372,0.3333,39,2.627369468,75,3.022390386,151,3.556896881,305,4.296843419,554,4.952563154,799,5.69361975,985,6.069736394,1130,6.289761106,1213,6.418991212,1274,6.543762282,1328,6.640560097,1416,6.873520016,1471,6.934502111,1478,6.940753314,86.51604866,low
39,33,2017,J+J Lake Helen,0,81.5367,960.4920793,0,0.001041133,0.004722182,NA,17.893,8.402,0,27,2.349796772,43,2.635554356,82,3.149350613,152,3.6944271,262,4.349543502,426,5.143526923,523,5.499500754,611,5.735619857,650,5.806700138,679,5.870971119,696,5.898947877,709,5.945401109,716,5.958151041,716,5.958151041,40.49701878,high
40,33,2017,J+J Lake Helen,0,49.1067,211.7665096,0,0.001041133,0.004722182,NA,17.893,8.402,0,27,2.349796772,43,2.635554356,82,3.149350613,152,3.6944271,262,4.349543502,426,5.143526923,523,5.499500754,611,5.735619857,650,5.806700138,679,5.870971119,696,5.898947877,709,5.945401109,716,5.958151041,716,5.958151041,40.49701878,low
41,36,2017,Gudygast South,1.01,97.9133,619.4873371,1.94310912,0.001614238,0.000882742,0.514639137,14.37,19.432,0.8048,29,2.440195005,53,2.868752446,100,3.413227086,207,4.002394582,418,4.822058913,618,5.468806944,742,5.769731828,878,6.034347214,946,6.147258626,996,6.249208394,1027,6.323051795,1089,6.507442681,1113,6.545003576,1113,6.545003576,56.6374319,high
42,36,2017,Gudygast South,1.01,48.6067,1132.833829,1.94310912,0.001614238,0.000882742,0.514639137,14.37,19.432,0.8048,29,2.440195005,53,2.868752446,100,3.413227086,207,4.002394582,418,4.822058913,618,5.468806944,742,5.769731828,878,6.034347214,946,6.147258626,996,6.249208394,1027,6.323051795,1089,6.507442681,1113,6.545003576,1113,6.545003576,56.6374319,low
43,37,2017,HancockE10,2.5,85.4467,1271.921568,6.25021068,0.000786212,0.025997793,0.159994607,20.591,3.581,1.4434,29,2.491545376,50,2.815322508,86,3.266624283,170,3.80938369,292,4.359390049,428,5.026990041,517,5.346577487,621,5.635253906,664,5.73400981,692,5.839462416,714,5.911644342,736,5.976593764,746,6.004864234,747,6.006957991,48.11994056,high
44,37,2017,HancockE10,2.5,36.9867,38.46480353,6.25021068,0.000786212,0.025997793,0.159994607,20.591,3.581,1.4434,29,2.491545376,50,2.815322508,86,3.266624283,170,3.80938369,292,4.359390049,428,5.026990041,517,5.346577487,621,5.635253906,664,5.73400981,692,5.839462416,714,5.911644342,736,5.976593764,746,6.004864234,747,6.006957991,48.11994056,low
45,38,2017,J+JJerry's,0,114.7633,700.5656367,0,0.001427418,0.002800096,NA,15.281,10.911,0,36,2.629254922,60,2.985873791,125,3.560697107,242,4.175055584,396,4.919974837,560,5.53404785,643,5.74422177,721,5.904479388,762,5.970393375,801,6.094859014,826,6.141586615,861,6.284736904,883,6.342616919,888,6.346200246,63.07432372,high
46,38,2017,J+JJerry's,0,60.05,357.1306127,0,0.001427418,0.002800096,NA,15.281,10.911,0,36,2.629254922,60,2.985873791,125,3.560697107,242,4.175055584,396,4.919974837,560,5.53404785,643,5.74422177,721,5.904479388,762,5.970393375,801,6.094859014,826,6.141586615,861,6.284736904,883,6.342616919,888,6.346200246,63.07432372,low
47,40,2017,Winterfell AcresPlot 8,0,48.9267,6475.887035,0,0.000154419,0.002069934,NA,46.461,12.69,0,34,2.716131031,73,3.118879285,146,3.703333663,282,4.428375472,436,5.045059488,592,5.617973095,708,5.924628128,793,6.111046668,863,6.257289149,899,6.32954914,935,6.384532648,993,6.538388602,1008,6.55671164,1009,6.557370386,70.04340756,high
48,40,2017,Winterfell AcresPlot 8,0,68.5967,483.1071909,0,0.000154419,0.002069934,NA,46.461,12.69,0,34,2.716131031,73,3.118879285,146,3.703333663,282,4.428375472,436,5.045059488,592,5.617973095,708,5.924628128,793,6.111046668,863,6.257289149,899,6.32954914,935,6.384532648,993,6.538388602,1008,6.55671164,1009,6.557370386,70.04340756,low
49,41,2017,HancockK5,1.435,98.88,397.4760272,2.06620203,0.002515875,0.181000381,0.483979778,11.511,1.357,0.8299,29,2.315200115,52,2.598385369,94,3.138514202,173,3.603259639,314,4.473501452,483,5.203038032,579,5.498468135,657,5.678206802,688,5.741658119,709,5.822735108,732,5.869575674,763,6.010318046,786,6.080747681,786,6.080747681,50.74870571,high
50,41,2017,HancockK5,1.435,42.97,5.524850249,2.06620203,0.002515875,0.181000381,0.483979778,11.511,1.357,0.8299,29,2.315200115,52,2.598385369,94,3.138514202,173,3.603259639,314,4.473501452,483,5.203038032,579,5.498468135,657,5.678206802,688,5.741658119,709,5.822735108,732,5.869575674,763,6.010318046,786,6.080747681,786,6.080747681,50.74870571,low
51,42,2017,Iglcomb,0,83.9644,1088.749408,0.048387,0.000918485,0.00113458,20.666708,10.999,9.896,0.127,36,2.798987818,82,3.227238314,198,3.787924088,438,4.523850843,735,5.188813128,1036,5.851000289,1272,6.258258204,1454,6.513450361,1592,6.691301785,1663,6.822113825,1741,6.921761644,1859,7.118935729,1918,7.189176061,1911,7.166849,101.7552336,high
52,42,2017,Iglcomb,0,49.8367,881.3834194,0.048387,0.000918485,0.00113458,20.666708,10.999,9.896,0.127,36,2.798987818,82,3.227238314,198,3.787924088,438,4.523850843,735,5.188813128,1036,5.851000289,1272,6.258258204,1454,6.513450361,1592,6.691301785,1663,6.822113825,1741,6.921761644,1859,7.118935729,1918,7.189176061,1911,7.166849,101.7552336,low
